1,73.570143,
1,73.829819,
2,36.775163,
2,36.963296,
4,18.388746,
4,18.458198,
8,17.95304,
8,17.939679,
16,17.47919,
16,17.612007,

1,73.589747,
1,73.823823,
2,36.783948,
2,36.967021,
4,18.390210,
4,18.436160,
8,17.109117,
8,17.865769,
16,16.991724,
16,17.511846,

1,73.563808,
1,73.817057,
2,36.778387,
2,36.960290,
4,18.391413,
4,18.465787,
8,17.94155,
8,17.929267,
16,17.19749,
16,17.506878,

1,73.277041,
1,73.844486,
2,36.780992,
2,36.970498,
4,18.389896,
4,18.422461,
8,18.957124,
8,19.302984,
16,17.879468,
16,17.944890,

1,73.561539,
1,73.812380,
2,36.776185,
2,36.941417,
4,18.386299,
4,18.441716,
8,18.946291,
8,18.822493,
16,17.326712,
16,17.887671,

1,73.578382,
1,73.917614,
2,36.779576,
2,36.988689,
4,18.382877,
4,18.449153,
8,17.103324,
8,17.878494,
16,16.978764,
16,17.547962,

1,73.604038,
1,73.844598,
2,36.776949,
2,36.962798,
4,18.388499,
4,18.517030,
8,17.95092,
8,17.926099,
16,16.986754,
16,17.507097,

1,73.295490,
1,73.923126,
2,36.777577,
2,37.2923,
4,18.388189,
4,18.433245,
8,17.105649,
8,17.938825,
16,17.26695,
16,17.478786,

